image_path,num_gt_tokens,num_pred_tokens,token_edits,token_error_rate,cer,error_tokens,error_entropies,error_probs
data/oldNepaliDataset_new/images/DNA_1_00000137/eSc_line_926ba090.png,49,51,12,0.24489795918367346,0.1785714328289032,व|ह|म|र|ा|फ|्|ल|ा|म,0.3460651934146881|0.25603222846984863|0.0008994262898340821|0.06129707768559456|5.2102579502388835e-05|0.018324755132198334|0.0009486565249972045|0.7094362378120422|0.00010255734378006309|0.01918056048452854,0.9333277344703674|0.9681379199028015|0.9999300241470337|0.9892590641975403|0.9999969005584717|0.9978896975517273|0.9999202489852905|0.6446511149406433|0.9999935626983643|0.9972422122955322
data/oldNepaliDataset_new/images/DNA_0013_0522/eSc_line_f6d4cdff.png,79,78,14,0.17721518987341772,0.1882352977991104,पन|ु|ु|ा|न|्|ध|सम|ा|्,1.1105989217758179|0.00032603679574094713|1.866178536147345e-05|0.041831061244010925|0.002288732910528779|0.0030587660148739815|0.9360570907592773|0.8130582571029663|0.4497082233428955|0.10967865586280823,0.6767222881317139|0.9999750852584839|0.9999990463256836|0.9946158528327942|0.9997636675834656|0.9997172951698303|0.7028495669364929|0.8181080222129822|0.8475393652915955|0.979780375957489
data/oldNepaliDataset_new/images/DNA_1_00000116/eSc_line_b57c265c.png,58,58,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_1_00000285/eSc_line_02f4bb0c.png,30,30,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_0001_0367/eSc_line_256ca5e8.png,54,54,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_2_00000264_result/eSc_line_8cf2b037.png,44,44,2,0.045454545454545456,0.043478261679410934,्,0.018317945301532745,0.9974656105041504
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_022/eSc_line_60e25e8e.png,71,74,7,0.09859154929577464,0.08860759437084198,ल|्|स|ष|्|म,1.1271616220474243|0.12704142928123474|0.04319234937429428|0.45049500465393066|1.4173514500726014e-05|2.384857177734375,0.5749208331108093|0.9722484350204468|0.9951052665710449|0.9212216138839722|0.9999994039535522|0.3123131990432739
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_348e7b35.png,30,29,5,0.16666666666666666,0.21875,न|भ|रल|्|च,0.7035374641418457|0.5354426503181458|0.04655854403972626|0.0017159550916403532|1.016369104385376,0.5292443037033081|0.778570830821991|0.9931938648223877|0.9998502731323242|0.574053943157196
data/oldNepaliDataset_new/images/DNA_0012_0007/eSc_line_bce9a999.png,49,47,5,0.10204081632653061,0.09615384787321091,6|न|ौ,1.1283930540084839|1.5202228496491443e-05|3.775498043978587e-05,0.45985308289527893|0.9999992847442627|0.999997615814209
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_33bb25de.png,27,28,3,0.1111111111111111,0.1071428582072258,्|क,0.10678625851869583|1.4675999879837036,0.977797269821167|0.6302585005760193
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_976a1d84.png,41,39,4,0.0975609756097561,0.09090909361839294,ह|फ,1.1799243688583374|0.7811891436576843,0.5426045060157776|0.7278107404708862
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_006/eSc_line_df4a0b9e.png,77,74,4,0.05194805194805195,0.058139536529779434,जन|्,0.4260839521884918|8.81022606336046e-06,0.8790792226791382|0.9999995231628418
data/oldNepaliDataset_new/images/DNA_1_00000404/eSc_line_c6d04768.png,32,32,3,0.09375,0.09090909361839294,र|द|श,0.03618486970663071|0.6532326340675354|0.2078356146812439,0.9945350885391235|0.7074856162071228|0.9645984172821045
data/oldNepaliDataset_new/images/DNA_0012_0006/eSc_line_6115d686.png,43,43,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/11/eSc_line_eba28e0a.png,82,81,1,0.012195121951219513,0.02298850566148758,ु,0.31399044394493103,0.9052461385726929
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_005/eSc_line_92846528.png,88,87,5,0.056818181818181816,0.05263157933950424,ु|ह|य|श,1.4428082704544067|0.002748842118307948|0.6315145492553711|0.9956510066986084,0.4053040146827698|0.9997738003730774|0.6801636219024658|0.5702837705612183
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_004/eSc_line_52acc85d.png,82,84,3,0.036585365853658534,0.032967034727334976,्|न|ी,0.004874857608228922|1.3226276636123657|2.3967695597093552e-06,0.9994803071022034|0.43549150228500366|0.9999998807907104
